,text,label
27,pessoal tentando criar imagem produto varios pontos interesse pessoa clicar desses pontos abrira tooltip informacoes necessarias ja criei coordenadas usando ferramente online ate ai tudo bem tudo funcionando clico abre link aparece title setei so quero fique icone cada area interesse nao sei fazer codigo assim ate agora code algum modo possa inserir tais customizacoes area triggo click abrir tooltip pensando fazer usando jqeury aberto sugestoes exemplo queria obrigado,"(0, 1, 1, 0)"
28,tentar fazer fullscreen scrolling website nao quero scroll pare meio seccao identifique vem baixo cima faca animacao topo respectiva seccao seguinte codigo contudo parece scroll animacao scrolltop entra conflito scroll pagina nao consigo sair seccao 1 code code code,"(0, 1, 1, 0)"
29,tabela vai adicionando acordo usuario pode inserir excluir linha tabela qualquer momento queria codigo somasse determinada coluna caso soma todos valores produtos informa valor total compra code code,"(0, 1, 0, 0)"
30,entao tentando fazer app angular 5 usando auth token pra login preciso fazer post api testei postman funcionando dificuldades fazer angular codigo seguinte code novo angular 5 nao consegui debugar direito nao entra map nao consigo pegar alguma exception pra entender q errado poderiam ajudar,"(0, 0, 0, 1)"
31,pessoal faco pegar id input criado partir json plugin jsonforms documentacao aqui utiliza schemas forms montar html dinamicamente porem nao conseguindo trabalhar id input preciso validar campos evento blur segue exemplo schema criado code,"(0, 0, 1, 0)"
32,tentando validar input formulario simples iniciando angular 4 projeto dentro component validacao required html5 funcionar formulario carregando corretamente tela tudo funciona menos validacao form usando layout materialize css index html code app root code setor component code,"(0, 0, 1, 1)"
33,ola precisando pegar elemento html ng repeat aplicar comandos css div depende resultado vier banco dados enquanto apenas consigo pegar elemento porem aplicado style apenas primeiro item repeat preciso aplicar demais tambem diferentes style s alguma maneira melhor pegar elemento atraves index codigo html code codigo javascript code preciso fazer basicamente pegar id agendamento junto algum index retorna tabela html forma consiga fazer rodar alguem sabe alguma forma usar getelementbyid funcionando dessa maneira alguma maneira melhor fazer quero formas diferente,"(0, 0, 1, 1)"
34,ola seguinte codigo jsfiddle nele 6 checkbox 0 5 estrelas clico checkbox filtra json exibindo hotel tal estrela ate ai tudo bem problema vem seleciono 1 estrela ex selecionar 1 estrela 4 estrelas 0 estrelas preciso retorne todos hoteis 1 4 0 estrelas supondo checkbox 1 4 0 selecionados desmarcar 0 preciso so retorno hoteis 1 4 estrelas assim diante alguem saberia posso resolver,"(0, 1, 0, 0)"
35,muita enrolacao preso seguinte problema seguinte codigo js code problema botao dentro append preciso passar parametro item parametro pra outra funcao pra pegar dados desse item fazer algo porem clicar console acusa uncaught syntaxerror unexpected identifier pagina branco acredito algum erro aspas nao consegui identificar alguem alguma ideia fazer obrigado,"(0, 0, 1, 0)"
36,efeito parallax js so funciona navegadores desktop algo pode ser feito efeito visivel dispositivos moveis usando classes atributos padroes code,"(0, 1, 0, 0)"
37,tentando montar array associativo caso combobox estado sao paulo mostrar 5 cidades sao paulo rio janeiro mostra 5 cidades rio janeiro html code javascript code codigo seguir tras todos estados ate aqui tudo bem code retornando perfeitamente estados combobox quero agora selecionar estado mostre cidades outro combobox rio mostre cidades rio selecionar sao paulo mostre cidades sao paulo entao fiz porem nao retorna nada javascript code aproveitei variavel select existir entra if porem variavel selectedtext fiz receber valor combobox estado retorna vazia antes deixando dentro ai repetia campo vazio 5 vezes tirei dentro repete vez ainda sim vazio desde ja agradeco qualquer ajuda,"(0, 0, 1, 0)"
38,objeto indica pagina sendo carregada porem nao funcionando forma correta segue codigo html code js code percebam caregando inicia true logo apareca spinner 3 segundos status alterado false fazendo assim desapareca spinner apareca conteudo partes funcionando errado pagina comeca carregar dois aparecem juntos durante alguns milesimos segundo nao respeitando ng if conforme imagem abaixo outra duvida poderia fazer sumir spinner mostrar conteudo somente pagina totalmente carregada,"(0, 0, 1, 1)"
39,preciso fazer javascript aplicacao verifique bloqueador popup ativo seguinte codigo code porem queria algo nao abrisse aba pra fazer verificacao pois cada vez acionar metodo liberado popup vai abrir nova aba pro usuario,"(0, 1, 0, 0)"
40,handler evento jquery pode usar code code code combinacoes desses cancelar acao evento sei diferenca comportamento sinceramente sempre preciso fazer algo tipo comeco code vou tentativa erro porque ainda nao compreendo bem diferenca ja li algum lugar code mesma coisa acionar code code ambos ja li gente dizendo nao bem assim alguem pode explicar melhor devo fazer pra decidir desses caras preciso exemplos,"(0, 1, 0, 0)"
41,arquivo json conteudo contem paragrafos paragrafos sao separados code insiro conteudo paragrafos nao sao separados inves quebra linha espaco code ver solucao converter code quebras linha code entende code code metodo correto ser usado,"(0, 0, 1, 0)"
42,melhor maneira chamar elemento parenteses retos nome usando jquery html code jquery code,"(0, 1, 0, 0)"
43,construindo website ser hospedado servidor nao suporte php outra linguagem server side preciso enviar valores formulario contato mail recursos sao apenas html5 javascript existe alguma forma fazer envio,"(0, 0, 1, 0)"
44,ideia inicial projeto pessoal desenvolver sistema basico realizar divisao pagamento n clientes consumiram n produtos intuito treinar habilidades ideia central alimentar dois blocos simples input sendo clientes outro produtos precos criando lista primeiro outra lista segundo possivel ver codigos maior parte sistema ja feito duas funcoes principais html code code questao neste caso simples consigo obter valor deve ser pago cada atraves variavel valordividido nao consigo inserir valor lista clientes vez nao possivel acessar areadovalordividido pois variavel presente apenas outra funcao sendo assim queria saber ha alguma forma inserir comando funcao addprodutofunction altere algum conteudo presente unicamente funcao addclientefunction,"(0, 0, 1, 0)"
45,problema tentar fazer requisicao atraves api text to speech tentar fazer requisicao seguinte erro code codigo js code codigo html code,"(0, 1, 0, 0)"
46,seguinte form group code form group possui controle chamado code preciso adicionar array nesse controle determinado indice passado parametro funcao problema variavel uso pra fazer push this listatributos fica acumulando troca indice adiciona outro indice array so deveria ser adicionado naquele indice code funcao possuo seguinte cenario variacao nela pode ter x atributos variavel this listatributos vai incrementando atributos adiciona naquele index passado parametro problema troca index array listatributos deveria ser zerado porem nao consigo pensar forma fazer edit tentei algo code porem ainda nao consegui acertar logica,"(0, 0, 0, 1)"
47,quero fazer aplicacao seguintes definicoes tela responsiva lista titulos video aula direita preciso ter scroll sempre coloco scroll nesse elemento nao fica gostaria pois height 100 nao pega resolucao code,"(0, 1, 0, 0)"
48,sistema atualmente funciona api google maps percebi site fica aguardando api ser carregada entao terminar carregar pagina pagina inicial index php tag assim code nao uso google maps index php so feito dessa maneira porque pagina carregada usuario clica botao faz load carregar mapa assim code tag script google colocada dentro desse arquivo veiculodescarga php api nao funciona nao carrega demais dependencias code alguem sabe possivel fazer api funcionar apos fazer load onload edit 01 exemplificar melhor vou deixar imagens abaixo explicacoes imagem abaixo tag googleapis roda normalmente veja unica tag faz chamada buscando demais tags dependencia inseri caso ok nao quero carregada ai inicio quero carregado tag googleapis chamar evento load jquery veja faco tag carregada nao faz chamada demais dependencias,"(0, 1, 1, 0)"
49,ola boa atarde todos gostaria codigo fizesse sequencia apos 1 video automaticamente ir segundo alguem pode ajudar code,"(0, 0, 1, 0)"
50,recebo string tipo r 10 00 queria mudar 10 00 poder fazer calculo tentei codio abaixo nao deu certo code,"(0, 1, 1, 0)"
51,ola dentro formulario 4 combos code algum combo selecionado preciso saber dentre quatros selecionado 1 2 3 4 pegar valor combo selecionado obrigado,"(0, 1, 0, 0)"
52,ola utilizando componete p calendar primeng setando locale pt conforme abaixo code typescript deste componente configurados valores pt code funcionando corretamente so todos componentes vou usar preciso configuracao gostaria saber usar colocando configuracao so local usar programa todo aqui package json code alguem poder dar ideia agradeco,"(0, 0, 0, 1)"
53,codigo abaixo pego valores armazenados varios code uso funcao code gostaria fazer outr forma utilizando code possivel pegar valores fazendo varredura code devo fazer code,"(0, 1, 1, 0)"
54,gostaria bg section certo delay velocidade rolagem diferenciar rolagem padrao pagina alguem sabe posso fazer,"(0, 0, 1, 0)"
55,quais melhores ferramentas serem utilizadas depuracao aplicacoes node opiniao voces,"(1, 0, 0, 0)"
56,programando pra web nao faz tempo nao consigo tirar selecao fica clico alguem sabe tirar,"(0, 1, 1, 0)"
57,to duvida bem grande funcao faz calculos metricas usuarios quero colocar funcao express poder retornar json usar rota segue codigo usar rotas code quero colocar funcao calculo dentro ter retorno json,"(1, 0, 0, 0)"
58,code tentando criar funcao adicionar formulario dinamico porem attr id fica dando erro inputs i attr is not function alguem poderia ajudar resolver problema,"(0, 1, 0, 0)"
59,fazer cadastro utilizando ajax success nao executa comandos dentro analisar codigo reparei existe ufeff valor retornado php acho causando erro codigo php code ajax code posso remover ufeff,"(0, 1, 1, 0)"
60,bom comecei estudar angular 2 4 fiquei meio perdido alguns momentos component tao citado algo essencial confundia bastante afinal conceito component,"(0, 0, 0, 1)"
61,fazer requisicao code url nao suporta code navegador retorna 405 method not allowed existe alguma forma impedir codigo javascript navegador envie pre request code antes enviar code,"(0, 1, 0, 0)"
62,simplesmente mover div direcao valor degress fiz varios modos nao consigo codigo tentando alguem alguma luz solucao problema sinalizacao exemplo abaixo obrigado,"(0, 0, 1, 0)"
63,fazendo formulario nao encontrei nada parecido pesquisas fiz codigo conseguindo popular normalmente selecionar data popula regiao popular regiao popula profissional popular profissional popula horario entanto preciso selecionar checkbox tipo exame complementar traga informacao json profissional tambem checkbox select horario preciso criar array dois ids tanto profissional quanto checkbox horario preciso entao 2 parametros profissional tipo exame enviados mesma array voltasse select horarios usando switch case json passar parametro checkbox interagir array profissional atualizar horario basicamente code chamada checkbox code posso fazer mudanca array receber 2 parametros sera alguem pode ajudar desde ja agradeco,"(0, 0, 1, 0)"
64,seguinte codigo tentar fazer mensagem aparecer sempre nao preciso passar rato cima mensagem aparecer sempre presente possivel fazer usar toolkip,"(0, 1, 1, 0)"
65,entao pessoal sei codigo abaixo bem desnecessario apenas preciso saber coisas verdade resposta codigo abaixo site serve ficar fazendo refresh icone atualizacao aparece numero quantidade notificacoes caso algum usuario amigo curtido comentado algo facebook porem acredito cada refresh abrindo outra porta porque estatistica site mostra tendo 1900000 visualizacoes dia acaba aumentando trafego site parando servidor entao pergunta code code busca pesquisa arquivo code cada refresh tempo meio segundo 1000 ruim site code,"(0, 1, 0, 0)"
66,funcao sobrescreve todos alerts nativos js porem sweetalert nao code automaticamente faz proximas linhas codigo executadas imediatamente apos alert ser mostrado algum jeito pegar code dar code mudar assinatura metodo passar event code explicando melhor terminar funcao php retorno code exemplo redireciono outra pagina alert nativo espera clique ok direcionar agora funcao criei mostra alert ja redireciona logo seguida,"(0, 1, 0, 0)"
67,fala galera bom dia to precisando ajuda dropdown cada doacao banco dados botao clico aparece itens doados seguinte linha codigo user donation js code user donations js code porem clico qualquer code mostro itens todas doacoes nao so quero alguem sera q consegue ajudar,"(0, 0, 1, 0)"
68,fazendo teste pathfinding jquery js dei empacada forte procurei varios lugares nao conseguindo raciocinar iniciar leitura vizinhos fazer linha origem quadrado onde usuario clica destino quadrado 14 15 ate consigo fazer area mapeada nao entendo sondar vizinhos saber melhor caminho ai vai codigo code code code,"(0, 1, 0, 0)"
69,boa noite pessoal quero regra feita atraves javascrit jquery faca seguinte input id dentro div id b faca algo quero saber elemento dentro determinada div consiga fazer determinada acao,"(0, 1, 1, 0)"
70,view dropdowlist contem dados vem banco logo baixo coloquei buttom clicar vai anexar item selecionado dropdownlist lista fiz codigo aqui nao anexando colocar valores predefinidos funciona valores dropdowlist nao javascript code view code lista onde sera anexado valor selecionado code,"(0, 1, 0, 0)"
71,ola oq quero fazer especificamente sao radio buttons ativado cor fundo div saia cor padrao branco mude cor background acordo radio buttom salve alteracao banco dados referente tal cor precisar enviar nenhum tipo formulario botao enviar ficou meio confuso entao segue abaixo exemplo opcoes radio buttom opc1 opc2 opc3 ativo opc1 div contem conjunto radio buttons fica background totalmente verde salvo bd forma sempre voltar fique verde devida opcao radio selecionada opc1 nao perca alteracao pagina atualizada nessa mesma div resolvo clicar opc2 div troca cor passa ficar laranja indicando outra coisa assim salvando bd tbm mesma maneira sobrescrevendo bd row armazenada cor verde fim usuario clicar opc3 div passara ficar vermelha tambem alteracao sera salva bd forma sobrescreva anterior novato processo aprendizado javascript entao ainda certa dificuldade nisso apesar parecer simples ja procurei bastante nao achei nada esclarecedor espero alguem aqui possa ajudar segue abaixo dois scripts fiz sao dois porque tentei duas maneiras porem ambas falharam vou deixar duas pra saber maneira correta primeira maneira code script maneira 1 code segunda maneira code script segunda maneira code possivel manda codigo comentando pra mim tentar entender quais alteracoes remeteram tambem fazer codigo javascript jquery,"(0, 0, 1, 0)"
72,imagem cama precisava mouse hover acontecesse travesseiro subisse popup porem nao sei modo mapear imagem ia utilizar map html porem nao responsividade alguem sabe modo fazer travesseiro fique hover obs parte popup sei fazer somente quero saber identificar travesseiro disparou hover abaixo imagem explicando,"(0, 0, 1, 0)"
73,pessoal alguem ja utilizou goolecharts so consigo fazer plotar grafico head faco codigo ficar body pois quero plotar via request,"(0, 1, 0, 0)"
74,seguinte codigo code porem var data ficando valor nulo olha exemplo intencao enviar dados utilizando ajax code lado servidor ja estrutura receber json deserializa lo objeto,"(0, 1, 0, 0)"
75,desenvolvedor net mvc wpf mcf preciso desenvolver projeto mobile multi plataforma fiz pesquisa verifiquei existem diversos framework s resolvem questao phonegap apache cordova ionic lungo outros verifiquei maioria framework s sao baseados html css javascript desses framework s possui melhor desempenho menor curva aprendizado,"(0, 0, 1, 0)"
76,compartilho 3g celular tablet android onibus fretado ai vem pergunta gostaria saber existe possibilidade utilizar ambiente desenvolvimento nodejs phonegap cordova desenvolver tablet emular proprio celular compartilhando 3g,"(1, 0, 0, 0)"
77,pagina recebe informacoes js assim codigo code gostaria clicasse nesta tabela exibida html enviasse code nova janela code nao sei fazer usando javascript,"(0, 0, 1, 1)"
78,varios registros php clicar link informacoes abre code oculta porem clicar nessa link abre code oculta todos registros codigo javascript seguinte code css code link code div code outro detalhe tudo dentro php mostrando todos registros pedido postando estrutura html code,"(0, 1, 0, 0)"
79,boa tarde posso desagrupar grupo marcadores localizacao proxima utilizando google maps api pesquisei porem encontrei apenas markerclusterer outras alternativas nao sao oriundas google modificando icones padroes so encontrei clicar sobre marcador varios outros desagrupam porem nao nativo google falar problema zoom proximo marcadores estao todos concentrados rua exemplo imagem abaixo entao nesse caso markerclustered nao funcionaria agradeco desde ja,"(0, 0, 1, 0)"
80,criando mural imagens dentro thumbnails ajustando automaticamente onde uso calculo abaixo code penas imagem calcula bem imagens tamanhos diferentes encontra bug queria saber ha forma executar funcao cada vez encontrar code class code pois assim posso tratar imagem imagem estruturar dentro div s especificas,"(0, 1, 1, 0)"
81,preciso pagina html5 retorne code todos nomes extensoes arquivos existentes diretorio dentro site consigo fazer outras linguagens server side gostaria faze lo js ha possibilidade,"(0, 1, 1, 0)"
82,galera seguinte problema ser resolvido usando api google pegar geolocalizacao atual usuario porem clicar icone pega geolocalizacao formulario so submetido clicar input pressionar enter porem preciso automatico 1 pressione enter automaticamente 2 submit form automaticamente ja testei seguintes codigos porem nao retorna resultado esperado code codigo dentro jquery document click function preventdefault entao tudo ocorre recarregar pag obrigado code,"(0, 1, 0, 0)"
83,usando fancybox iframe onde usuario confirma pergunta quero atualize conteudo pagina original apos sucesso ajax code atualmente funcionar colocar remover item dentro wookmark atualizar wookmark so chamar metodo close fechar fancybox existe alguma maneira fechar fancybox primeiro so remover item wookmark,"(0, 1, 0, 0)"
84,formulario campo data obriga usuario apenas numeros caso outras opcoes nao selecionadas retornar alert duvida referente campo data ja citado obrigo usuario digitar 8 numeros data caso nao digite dar submit retornara algum erro alert segue pronto ate agr code code,"(0, 0, 1, 0)"
85,tentando montar combo dinamico angular porem nao tendo sucesso conseguir implementar valores estaticos nao sucesso adaptar lo api java conexao banco dados objetivo carregar dropdown list estado brasil possa carregar automaticamente segundo dropdown list cidades brasil correspondente estado brasil selecionado primeiro dropdown list obs dados estao banco dados local inserir cidade estados insert banco atraves facebook encontrei exemplo combo dinamico dados estaticos entenderem preciso efeito pratico 21 minutos 38 segundos desse video angular 5 select dinamico exemplo dados estaticos tendo tipo retorno code ficou assim cidades ficou assim code ficou assim assim repositorio dados estatico dicou assim clique aqui beleza adaptar lo pega dados api java nao sucesso mensagem erro dando componente ficou assim code servico ficou assim code pagina ficou assim code fiz uns teste api angular conseguindo get estado cidades veja code ficou assim estados code ficou assim percebe chamando duas vezes repositorio assim clique aqui nao sei resolver problema aceito sugestoes banco dados ficou assim cidades estado atualização orientado fazer seguintes modificacoes componente code servico code enfrentando seguinte erro veja detalhe entao descobrir problema erra exception response with status 200 ok url entao encontrei site resolver problema how to use angular 2 jsonp causa disso resolvi instalar lo comando abaixo code veja codigo antes code codigo modificacao code ai gerou outro erro entendi posso enganado quer mude code code fizer vou ter alterar projeto todo usar httpmodule meio complicado porque projeto pouco grande,"(0, 0, 0, 1)"
86,vejam exemplo funcional neste jsfiddle texto texto deveria ser quebrado nao quebrando respeitando espaco td obrigado,"(0, 0, 1, 0)"
87,string html preciso remover tudo primeira ocorrencia code primeiro fechamento tag code ultimo fechamento code primeiro deve ser dessa forma pois classe dessa div gerada dinamicamente permanecendo apenas primeiro caractere exemplo code devera ser transformado code tentei seguinte forma removendo toda string code editado caso string quebra linha solucao deixa funcionar code jsfiddle pedro havia informado propria resposta so adicionar code tendo seguinte resultado code,"(0, 1, 0, 0)"
88,faco pra pegar classe code seguinte codigo fazendo condicao valores retornados atributo name quero code determinado nome atributo name retorne alem valor atributo code classe class so conseguindo retornar code code quero pegar class tambem baseado name retornado condicao code code code entao retorne classe code,"(0, 1, 1, 0)"
89,dificuldade aplicacao le arquivo json renderiza html nao conseguindo acessar objeto corretamente variavel products fica undefined alguem poderia ajudar alguma outra forma resolver tambem aberta html code js code arquivo json code,"(0, 1, 1, 0)"
90,bom dia galera comecando estudar agora angular node typescript nao nessa ordem surgiram seguintes duvidas 1 notei executar angular normalmente utiliza node apps backend exemplo vi pra criar layouts angular sendo assim faco executar projeto chrome ex exportar proj pra server node 2 utilizando angular node php nao necessidade projeto 3 3 linguagens considerando mediano javascript onde devo comecar fico aguardo colaboracao vcs d,"(1, 0, 0, 1)"
91,boa noite muitos facil nao conseguindo resolver pagina pedidos campo produtos quantidade cada clicar adicionar mostra div preview pedidos valores clico pra enviar pedido so envia dropdown selecao nao lista toda queria saber faco enviar toda lista produtos pagina php vai ser responsavel tratar desses dados segue formulario usando ali arquivos html js alguem pode ajudar obrigado pessoal todos boa noite,"(0, 0, 1, 0)"
92,preciso clonar input text clicar botao passar valor deste campo clonado via post junto outros dados formulario utilizando funcao javascript fazer clones code imagens exemplo agora preciso saber fazer pegar valor campos clonados passar via post html novo orcamento code,"(0, 0, 1, 0)"
93,botao pagina chama api botao permite seguir utilizador deixar seguir clicar botao alterada label fica proxima botao simbolo botao problema vezes tudo funciona bem outras nao fiz debug percebi falha porque valor vai null api estranho chegar pagina tudo pode funcionar bem primeiras vez falha recarregar pagina volta tudo funcionar bem aqui fica codigo code,"(0, 1, 0, 0)"
94,ola data 18 05 17 preciso converte la 18 mai qui mai maio qui quinta feira alguem sabe faco usando javascript jquery,"(0, 1, 0, 0)"
95,projeto desenvolvido angular 1 utilizando routeprovider locationprovider porem agora projeto pronto preciso desativar sistema rotas url alterada acessar outra pagina preciso pagina recarregada novamente alguem ja precisou fazer segue abaixo sistema rotas utilizo routes js paginas code,"(0, 0, 0, 1)"
96,html gostaria usuario arrastasse aparecesse botoes assim arrastasse novo desaparecesse poderia fazer javascript jquery segue codigo code,"(0, 1, 1, 0)"
97,incluir item dinamicamente code quero deixar campo code code nao nenhum item code precisa estar code logica funciona utilizo code code nao segue fazendo code aqui retirar code code achei algo fazendo errado porem colocar code funciona,"(0, 1, 0, 0)"
98,gostaria saber maneira correta seguindo boas praticas criar funcoes jquery ja utilizei assim code tambem assim code porem nao sei duas maneiras correta nao diferenca,"(0, 1, 0, 0)"
99,bom dia pessoal seguinte possuo codigo html bem simples onde imagem linkada link aplicacao local empresa aplicacao web clico imagem pagina automaticamente redireciona pagina aplicacao web porem aplicacao so pode ser aberta chrome alguns usuarios empresa possuem explorer navegador padrao possivel fazer link linkado imagem faca abra pagina chrome segue abaixo linha codigo atual onde xx xxx x x ip aplicacao web code,"(0, 0, 1, 0)"
100,tentando instalar package localizado diretorio comando code node js porem apos instalar alguns pacotes recebo erro npm install error msb3428 could not load the visual c component vcbuild exe apos pesquisar pouco tentar reinstalar code rodar comando code continuo nao conseguindo instalar recebendo erro sei pacote correto tudo precisa pois outros colegas conseguiram instala lo rodando node js versao x64 windows 10 x64 alguma sugestao resolver problema,"(1, 0, 0, 0)"
